datadot,x,y
"445.6665,690.998",445.6665,690.998
"445.6665,703.998",445.6665,703.998
"432.6665,703.998",432.6665,703.998
"419.6665,703.998",419.6665,703.998
"419.6665,716.998",419.6665,716.998
"406.6665,716.998",406.6665,716.998
"393.6665,716.998",393.6665,716.998
"393.6665,703.998",393.6665,703.998
"380.6665,716.998",380.6665,716.998
"367.6665,716.998",367.6665,716.998
"406.6665,729.998",406.6665,729.998
"380.6665,729.998",380.6665,729.998
"406.6665,742.998",406.6665,742.998
"393.6665,742.998",393.6665,742.998
"406.6665,755.998",406.6665,755.998
"406.6665,768.998",406.6665,768.998
"393.6665,768.998",393.6665,768.998
"497.6665,638.998",497.6665,638.998
"510.6665,638.998",510.6665,638.998
"510.6665,651.998",510.6665,651.998
"523.6665,625.998",523.6665,625.998
"536.6665,638.998",536.6665,638.998
"276.6665,560.998",276.6665,560.998
"276.6665,573.998",276.6665,573.998
"263.6665,573.998",263.6665,573.998
"263.6665,560.998",263.6665,560.998
"263.6665,547.998",263.6665,547.998
"263.6665,534.998",263.6665,534.998
"68.6665,495.998",68.6665,495.998
"55.6665,508.998",55.6665,508.998
"276.6665,534.998",276.6665,534.998
"276.6665,521.998",276.6665,521.998
"289.6665,508.998",289.6665,508.998
"263.6665,586.998",263.6665,586.998
"250.6665,586.998",250.6665,586.998
"250.6665,599.998",250.6665,599.998
"250.6665,612.998",250.6665,612.998
"250.6665,625.998",250.6665,625.998
"250.6665,638.998",250.6665,638.998
"263.6665,638.998",263.6665,638.998
"263.6665,651.998",263.6665,651.998
"250.6665,651.998",250.6665,651.998
"276.6665,651.998",276.6665,651.998
"289.6665,651.998",289.6665,651.998
"302.6665,651.998",302.6665,651.998
"315.6665,651.998",315.6665,651.998
"328.6665,651.998",328.6665,651.998
"341.6665,651.998",341.6665,651.998
"354.6665,651.998",354.6665,651.998
"367.6665,651.998",367.6665,651.998
"380.6665,651.998",380.6665,651.998
"393.6665,651.998",393.6665,651.998
"393.6665,664.998",393.6665,664.998
"406.6665,664.998",406.6665,664.998
"380.6665,664.998",380.6665,664.998
"367.6665,664.998",367.6665,664.998
"354.6665,664.998",354.6665,664.998
"341.6665,664.998",341.6665,664.998
"328.6665,664.998",328.6665,664.998
"315.6665,664.998",315.6665,664.998
"302.6665,664.998",302.6665,664.998
"289.6665,664.998",289.6665,664.998
"276.6665,664.998",276.6665,664.998
"263.6665,664.998",263.6665,664.998
"263.6665,677.998",263.6665,677.998
"263.6665,690.998",263.6665,690.998
"263.6665,703.998",263.6665,703.998
"250.6665,703.998",250.6665,703.998
"250.6665,716.998",250.6665,716.998
"250.6665,729.998",250.6665,729.998
"250.6665,742.998",250.6665,742.998
"237.6665,742.998",237.6665,742.998
"237.6665,755.998",237.6665,755.998
"237.6665,768.998",237.6665,768.998
"237.6665,781.998",237.6665,781.998
"224.6665,781.998",224.6665,781.998
"224.6665,794.998",224.6665,794.998
